1,4,141,119,3,140,121,120
4,6,199,141,5,198,179,140
6,8,257,199,7,256,237,198
8,10,315,257,9,314,295,256
10,12,373,315,11,372,353,314
12,14,431,373,13,430,411,372
14,16,489,431,15,488,469,430
16,18,547,489,17,546,527,488
18,20,605,547,19,604,585,546
20,2,24,605,21,23,643,604
119,141,143,117,121,142,122,118
141,199,201,143,179,200,180,142
199,257,259,201,237,258,238,200
257,315,317,259,295,316,296,258
315,373,375,317,353,374,354,316
373,431,433,375,411,432,412,374
431,489,491,433,469,490,470,432
489,547,549,491,527,548,528,490
547,605,607,549,585,606,586,548
605,24,26,607,643,25,644,606
117,143,145,115,122,144,123,116
143,201,203,145,180,202,181,144
201,259,261,203,238,260,239,202
259,317,319,261,296,318,297,260
317,375,377,319,354,376,355,318
375,433,435,377,412,434,413,376
433,491,493,435,470,492,471,434
491,549,551,493,528,550,529,492
549,607,609,551,586,608,587,550
607,26,28,609,644,27,645,608
115,145,147,113,123,146,124,114
145,203,205,147,181,204,182,146
203,261,263,205,239,262,240,204
261,319,321,263,297,320,298,262
319,377,379,321,355,378,356,320
377,435,437,379,413,436,414,378
435,493,495,437,471,494,472,436
493,551,553,495,529,552,530,494
551,609,611,553,587,610,588,552
609,28,30,611,645,29,646,610
113,147,149,111,124,148,125,112
147,205,207,149,182,206,183,148
205,263,265,207,240,264,241,206
263,321,323,265,298,322,299,264
321,379,381,323,356,380,357,322
379,437,439,381,414,438,415,380
437,495,497,439,472,496,473,438
495,553,555,497,530,554,531,496
553,611,613,555,588,612,589,554
611,30,32,613,646,31,647,612
111,149,151,109,125,150,126,110
149,207,209,151,183,208,184,150
207,265,267,209,241,266,242,208
265,323,325,267,299,324,300,266
323,381,383,325,357,382,358,324
381,439,441,383,415,440,416,382
439,497,499,441,473,498,474,440
497,555,557,499,531,556,532,498
555,613,615,557,589,614,590,556
613,32,34,615,647,33,648,614
109,151,153,107,126,152,127,108
151,209,211,153,184,210,185,152
209,267,269,211,242,268,243,210
267,325,327,269,300,326,301,268
325,383,385,327,358,384,359,326
383,441,443,385,416,442,417,384
441,499,501,443,474,500,475,442
499,557,559,501,532,558,533,500
557,615,617,559,590,616,591,558
615,34,36,617,648,35,649,616
107,153,155,105,127,154,128,106
153,211,213,155,185,212,186,154
211,269,271,213,243,270,244,212
269,327,329,271,301,328,302,270
327,385,387,329,359,386,360,328
385,443,445,387,417,444,418,386
443,501,503,445,475,502,476,444
501,559,561,503,533,560,534,502
559,617,619,561,591,618,592,560
617,36,38,619,649,37,650,618
105,155,157,103,128,156,129,104
155,213,215,157,186,214,187,156
213,271,273,215,244,272,245,214
271,329,331,273,302,330,303,272
329,387,389,331,360,388,361,330
387,445,447,389,418,446,419,388
445,503,505,447,476,504,477,446
503,561,563,505,534,562,535,504
561,619,621,563,592,620,593,562
619,38,40,621,650,39,651,620
103,157,159,101,129,158,130,102
157,215,217,159,187,216,188,158
215,273,275,217,245,274,246,216
273,331,333,275,303,332,304,274
331,389,391,333,361,390,362,332
389,447,449,391,419,448,420,390
447,505,507,449,477,506,478,448
505,563,565,507,535,564,536,506
563,621,623,565,593,622,594,564
621,40,42,623,651,41,652,622
101,159,161,99,130,160,131,100
159,217,219,161,188,218,189,160
217,275,277,219,246,276,247,218
275,333,335,277,304,334,305,276
333,391,393,335,362,392,363,334
391,449,451,393,420,450,421,392
449,507,509,451,478,508,479,450
507,565,567,509,536,566,537,508
565,623,625,567,594,624,595,566
623,42,44,625,652,43,653,624
99,161,163,97,131,162,132,98
161,219,221,163,189,220,190,162
219,277,279,221,247,278,248,220
277,335,337,279,305,336,306,278
335,393,395,337,363,394,364,336
393,451,453,395,421,452,422,394
451,509,511,453,479,510,480,452
509,567,569,511,537,568,538,510
567,625,627,569,595,626,596,568
625,44,46,627,653,45,654,626
97,163,165,95,132,164,133,96
163,221,223,165,190,222,191,164
221,279,281,223,248,280,249,222
279,337,339,281,306,338,307,280
337,395,397,339,364,396,365,338
395,453,455,397,422,454,423,396
453,511,513,455,480,512,481,454
511,569,571,513,538,570,539,512
569,627,629,571,596,628,597,570
627,46,48,629,654,47,655,628
95,165,167,93,133,166,134,94
165,223,225,167,191,224,192,166
223,281,283,225,249,282,250,224
281,339,341,283,307,340,308,282
339,397,399,341,365,398,366,340
397,455,457,399,423,456,424,398
455,513,515,457,481,514,482,456
513,571,573,515,539,572,540,514
571,629,631,573,597,630,598,572
629,48,50,631,655,49,656,630
93,167,169,91,134,168,135,92
167,225,227,169,192,226,193,168
225,283,285,227,250,284,251,226
283,341,343,285,308,342,309,284
